feature,value
Lenses,Ultrasheen
Fabric,Canvas
Buttons,Brass
UV Protection,null
Frames,LightCompose
Fabric,100% Cotton
Cut,Skinny
Fabric,99% Cotton 1% Elastic
Cut,Loose
Material,FullControlSkin
Sole,Rubber
Mid-Sole,ControlSupport Arch Bridge
Stitching,Double Stitch
Frame,AllLight Composition Resin
Lens,Ultrasheen Basic
Green Leaf Certified,null
Buttons,White Resin
Stitching,Cross Stitch
Non-GMO,null
Lifetime Guarantee,null
Lens,100% UV Protective
Fair Trade Certified,null
Fabric,Cashmere
5 Year Warranty,null
Fabric,"95% Cotton, 5% Elastic"
Material,FullSupport Hybrid Compound
Lens,Ultrasheen Gold
Satisfaction Guaranteed,null
Frame,DuraResin
Fabric,Wool
Sustainably Sourced,null
Cut,Striaght
Fabric,Cool Fit
Fabric,"80% Cotton, 20% Polyester"
Cut,Straight
Material,Control Support Bridge
Lens,Ultrasheen Silver
Buttons,Ivory
Buttons,Blue Resin
Buttons,Black Resin
Material,Armor Weave
Fabric,Velvet
Material,FullControl Skin
Material,Rubber Mesh
Fabric,Silk
Fabric,FullControlSkin
